5.73,0.84,1.5
5.76,0.86,1.5
5.78,0.86,1.5
5.81,0.91,1.5
5.83,0.92,1.5
5.86,0.92,1.5
5.88,0.91,1.5
5.9,0.92,1.5
5.93,0.95,1.5
5.95,0.94,1.5
5.98,0.96,1.5
6,0.97,1.5
6.03,1,1.5
6.05,1,1.5
6.08,1.03,1.5
6.1,1.04,1.5
6.12,1.05,1.5
6.15,1.06,1.5
6.17,1.04,1.5
6.2,1.07,1.5
6.22,1.07,1.5
6.25,1.06,1.5
6.27,1.07,1.5
6.3,1.05,1.5
6.32,1.04,1.5
6.34,1.04,1.5
6.37,1.07,1.5
6.39,1.07,1.5
6.42,1.09,1.5
6.44,1.12,1.5
6.47,1.14,1.5
6.49,1.13,1.5
6.52,1.12,1.5
6.54,1.13,1.5
6.56,1.13,1.5
6.59,1.1,1.5
6.61,1.12,1.5
6.64,1.12,1.5
6.66,1.14,1.5
6.69,1.12,1.5
6.71,1.12,1.5
6.73,1.13,1.5
6.76,1.11,1.5
6.78,1.11,1.5
6.81,1.11,1.5
6.83,1.11,1.5
6.86,1.11,1.5
6.88,1.11,1.5
6.91,1.12,1.5
6.93,1.12,1.5
6.95,1.13,1.5
6.98,1.13,1.5
7,1.1,1.5
7.03,1.07,1.5
7.05,1.04,1.5
7.08,1.05,1.5
7.1,1.03,1.5
7.13,1.06,1.5
7.15,1.06,1.5
7.17,1.06,1.5
7.2,1.06,1.5
7.22,1.05,1.5
7.25,1.05,1.5
7.27,1.05,1.5
7.3,1.05,1.5
7.32,1.01,1.5
7.35,1.01,1.5
7.37,1,1.5
7.39,0.98,1.5
7.42,0.97,1.5
7.44,0.96,1.5
7.47,0.96,1.5
7.49,0.95,1.5
7.52,0.95,1.5
7.54,0.95,1.5
7.57,0.95,1.5
7.59,0.94,1.5
7.61,0.93,1.5
7.64,0.92,1.5
7.66,0.94,1.5
7.69,0.92,1.5
7.71,0.92,1.5
7.74,0.9,1.5
7.76,0.9,1.5
7.78,0.88,1.5
7.81,0.89,1.5
7.83,0.87,1.5
7.86,0.86,1.5
7.88,0.84,1.5
7.91,0.82,1.5
7.93,0.84,1.5
7.96,0.85,1.5
7.98,0.85,1.5
8,0.86,1.5
8.03,0.87,1.5
8.05,0.84,1.5
8.08,0.81,1.5
8.1,0.82,1.5
8.13,0.79,1.5
8.15,0.76,1.5
8.18,0.76,1.5
8.2,0.76,1.5
8.22,0.78,1.5
8.25,0.79,1.5
8.27,0.8,1.5
8.3,0.8,1.5
8.32,0.78,1.5
8.35,0.78,1.5
8.37,0.76,1.5
8.4,0.76,1.5
8.42,0.75,1.5
8.44,0.76,1.5
8.47,0.78,1.5
8.49,0.79,1.5
8.52,0.79,1.5
8.54,0.8,1.5
8.57,0.81,1.5
8.59,0.79,1.5
8.62,0.78,1.5
8.64,0.81,1.5
8.66,0.81,1.5
8.69,0.83,1.5
8.71,0.83,1.5
8.74,0.85,1.5
8.76,0.85,1.5
8.79,0.84,1.5
8.81,0.86,1.5
8.84,0.85,1.5
8.86,0.87,1.5
8.88,0.86,1.5
8.91,0.88,1.5
8.93,0.91,1.5
8.96,0.95,1.5
8.98,0.98,1.5
9.01,1,1.5
9.03,1.03,1.5
9.05,1.04,1.5
9.08,1.05,1.5
9.1,1.1,1.5
9.13,1.14,1.5
9.15,1.16,1.5
9.18,1.17,1.5
9.2,1.22,1.5
9.23,1.22,1.5
9.25,1.24,1.5
9.27,1.3,1.5
9.3,1.33,1.5
9.32,1.35,1.5
9.35,1.39,1.5
9.37,1.44,1.5
9.4,1.49,1.5
9.42,1.55,1.5
9.45,1.62,1.5
9.47,1.65,1.5
9.49,1.69,1.5
9.52,1.69,1.5
9.54,1.72,1.5
9.57,1.79,1.5
9.59,1.85,1.5
9.62,1.9,1.5
